Num,Label,Value,Active_Cnt,Phase,Min,Max,Init,Used,Status,Parm_StDev,Gradient,Pr_type
300,Fishery_ARDEV_y1964_a2,1.5242,246,5,-10,10,0,0,act,0.320698,1.60E-07,dev
301,Fishery_ARDEV_y1964_a3,1.05078,247,5,-10,10,0,0,act,0.295823,7.88E-07,dev
302,Fishery_ARDEV_y1964_a4,0.233818,248,5,-10,10,0,0,act,0.597012,3.95E-10,dev
303,Fishery_ARDEV_y1964_a5,0.0644489,249,5,-10,10,0,0,act,0.599897,1.10E-07,dev
304,Fishery_ARDEV_y1964_a6,-0.0869203,250,5,-10,10,0,0,act,0.660824,-4.13E-08,dev
305,Fishery_ARDEV_y1965_a1,1.29558,251,5,-10,10,0,0,act,0.299559,9.19E-07,dev
306,Fishery_ARDEV_y1965_a2,1.57682,252,5,-10,10,0,0,act,0.328634,4.86E-07,dev
307,Fishery_ARDEV_y1965_a3,1.08978,253,5,-10,10,0,0,act,0.35817,2.94E-07,dev
308,Fishery_ARDEV_y1965_a4,0.897779,254,5,-10,10,0,0,act,0.325493,1.35E-07,dev
309,Fishery_ARDEV_y1965_a5,0.109962,255,5,-10,10,0,0,act,0.63633,4.31E-08,dev
310,Fishery_ARDEV_y1965_a6,-0.0381164,256,5,-10,10,0,0,act,0.636477,-5.06E-08,dev
311,Fishery_ARDEV_y1966_a1,0.933233,257,5,-10,10,0,0,act,0.320595,5.92E-07,dev
312,Fishery_ARDEV_y1966_a2,1.31813,258,5,-10,10,0,0,act,0.300576,1.47E-06,dev
313,Fishery_ARDEV_y1966_a3,0.743135,259,5,-10,10,0,0,act,0.397105,7.13E-07,dev
314,Fishery_ARDEV_y1966_a4,0.477377,260,5,-10,10,0,0,act,0.441116,3.82E-07,dev
315,Fishery_ARDEV_y1966_a5,0.605616,261,5,-10,10,0,0,act,0.378343,9.98E-07,dev
316,Fishery_ARDEV_y1966_a6,-0.42961,262,5,-10,10,0,0,act,0.695478,1.14E-07,dev
317,Fishery_ARDEV_y1967_a1,1.22558,263,5,-10,10,0,0,act,0.307877,8.85E-08,dev
318,Fishery_ARDEV_y1967_a2,0.920842,264,5,-10,10,0,0,act,0.317742,1.06E-07,dev
319,Fishery_ARDEV_y1967_a3,0.999794,265,5,-10,10,0,0,act,0.336546,1.00E-07,dev
320,Fishery_ARDEV_y1967_a4,0.509201,266,5,-10,10,0,0,act,0.489094,1.88E-07,dev
321,Fishery_ARDEV_y1967_a5,0.555078,267,5,-10,10,0,0,act,0.531197,6.28E-08,dev
