ParName   Value   Gradient
parm_dev[1](98)       1.5242  4.67974e-07
parm_dev[1](99)      1.05078  7.56317e-07
parm_dev[1](100)     0.233818   8.6479e-08
parm_dev[1](101)    0.0644489  2.14799e-07
parm_dev[1](102)   -0.0869203  5.70327e-08
parm_dev[1](103)      1.29558  9.65987e-07
parm_dev[1](104)      1.57682  9.62706e-07
parm_dev[1](105)      1.08978  7.12418e-07
parm_dev[1](106)     0.897779  1.27333e-06
parm_dev[1](107)     0.109962  4.00174e-08
parm_dev[1](108)   -0.0381164  1.17865e-07
parm_dev[1](109)     0.933233  7.81542e-07
parm_dev[1](110)      1.31813  1.16794e-06
parm_dev[1](111)     0.743135  6.80889e-07
parm_dev[1](112)     0.477377  4.02166e-07
parm_dev[1](113)     0.605616  7.49757e-07
parm_dev[1](114)     -0.42961    8.698e-08
parm_dev[1](115)      1.22558   4.2038e-07
parm_dev[1](116)     0.920842  4.04485e-07
parm_dev[1](117)     0.999794   1.1746e-07
parm_dev[1](118)     0.509201  1.11426e-07
parm_dev[1](119)     0.555078 -2.71052e-08
parm_dev[1](120)     0.335313 -8.70278e-08
parm_dev[1](121)     0.882751  7.89587e-07
parm_dev[1](122)       1.5105  2.94671e-07
parm_dev[1](123)      1.48936  3.24592e-07
parm_dev[1](124)     0.658559  1.00015e-07
parm_dev[1](125)    0.0598132  9.04605e-08
parm_dev[1](126)     0.317997 -9.36507e-09
parm_dev[1](127)      1.62911  1.65096e-06
parm_dev[1](128)      1.66347  1.49568e-06
parm_dev[1](129)     0.817005  4.67821e-07
parm_dev[1](130)     0.586095   2.2749e-07
parm_dev[1](131)     0.854017  1.97213e-07
parm_dev[1](132)    0.0743824  1.19968e-07
parm_dev[1](133)     0.896642  2.42844e-07
parm_dev[1](134)      1.52912 -5.71793e-07
parm_dev[1](135)      1.12009 -6.95114e-07
parm_dev[1](136)     0.198694 -2.81407e-09
parm_dev[1](137)    0.0158721 -5.87946e-08
parm_dev[1](138)    -0.294251 -7.17286e-08
parm_dev[1](139)      1.61584 -1.85249e-07
parm_dev[1](140)      1.20141 -1.98253e-07
parm_dev[1](141)      1.19919 -2.94706e-07
parm_dev[1](142)      0.54884 -3.39241e-07
parm_dev[1](143)    -0.205706 -1.18289e-07
parm_dev[1](144)    -0.104754 -1.07886e-08
parm_dev[1](145)      1.18203   1.0459e-08
parm_dev[1](146)     0.758555  8.53193e-07
parm_dev[1](147)     0.267621  1.85122e-08
parm_dev[1](148)    -0.280769  8.65921e-09
parm_dev[1](149)    -0.164462  8.50954e-08
parm_dev[1](150)   -0.0962498 -8.14815e-09
parm_dev[1](151)      1.27563  7.36639e-07
parm_dev[1](152)     0.928065 -1.48181e-06
parm_dev[1](153)     0.708887  5.06357e-07
parm_dev[1](154)     0.272426  8.48389e-08
parm_dev[1](155)   -0.0733671 -1.12444e-08
parm_dev[1](156)   -0.0346262  3.38703e-08
parm_dev[1](157)     0.711964  -2.2929e-07
parm_dev[1](158)     0.762869  4.95489e-08
parm_dev[1](159)      0.22308 -3.44522e-07
parm_dev[1](160)    0.0500927  1.34949e-07
parm_dev[1](161)    0.0832303  -8.7458e-09
parm_dev[1](162)    0.0408032 -8.40892e-08
parm_dev[1](163)     0.563391  1.56352e-07
parm_dev[1](164)     0.486015 -3.06963e-07
parm_dev[1](165)    0.0414222  3.95336e-07
parm_dev[1](166)    -0.263159  -2.0237e-07
parm_dev[1](167)    0.0125463 -1.19815e-07
parm_dev[1](168)   0.00749112 -1.03298e-07
parm_dev[1](169)    -0.520514 -5.97478e-07
parm_dev[1](170)     0.819904 -2.86793e-06
parm_dev[1](171)     0.567024 -2.74596e-07
parm_dev[1](172)     0.129813   1.7496e-07
parm_dev[1](173)     0.223669  -2.5242e-07
parm_dev[1](174)    0.0379343 -5.74246e-09
parm_dev[1](175)    -0.201893 -4.86108e-07
parm_dev[1](176)     -1.02762  -5.8289e-08
parm_dev[1](177)      1.08448  2.12509e-06
parm_dev[1](178)     0.148878  9.06396e-08
parm_dev[1](179)     0.195502  7.97006e-08
parm_dev[1](180)    0.0695354 -7.65659e-08
parm_dev[1](181)     0.633693 -2.43673e-06
parm_dev[1](182)     -1.85383 -3.99756e-07
parm_dev[1](183)     -1.63346  -8.2485e-07
parm_dev[1](184)    -0.244327 -1.05962e-06
parm_dev[1](185)   -0.0607467 -6.29438e-08
parm_dev[1](186)   -0.0381429 -2.89112e-08
parm_dev[1](187)    -0.331253 -7.97168e-07
parm_dev[1](188)     -1.28182 -4.12814e-07
parm_dev[1](189)     -1.67335 -2.48095e-07
parm_dev[1](190)     -1.32977 -3.27564e-07
parm_dev[1](191)    -0.296429 -3.57636e-07
parm_dev[1](192)   -0.0697227  1.64765e-08
parm_dev[1](193)     -1.30406   4.2966e-07
parm_dev[1](194)    -0.842558  8.16277e-07
parm_dev[1](195)    -0.762274  6.40136e-07
parm_dev[1](196)    -0.983744  2.39846e-07
parm_dev[1](197)    -0.752073  1.92948e-07
parm_dev[1](198)   -0.0685243   1.7055e-07
parm_dev[1](199)     -1.47208  6.36282e-08
parm_dev[1](200)     -1.93054  2.42609e-07
parm_dev[1](201)     -1.39181  2.15487e-07
parm_dev[1](202)    -0.520939  1.15946e-07
parm_dev[1](203)    -0.169525  6.79888e-08
parm_dev[1](204)   -0.0512129 -2.64522e-09
parm_dev[1](205)     -1.59115 -1.78114e-06
parm_dev[1](206)     -1.77016 -1.15408e-06
parm_dev[1](207)     -1.63762 -1.21459e-06
parm_dev[1](208)    -0.213946 -3.99868e-07
parm_dev[1](209)   -0.0215739  2.55537e-08
parm_dev[1](210)  -0.00256756 -5.36155e-09
parm_dev[1](211)     -1.37955 -2.47266e-07
parm_dev[1](212)     -1.84772 -3.04579e-07
parm_dev[1](213)     -1.67866 -4.41336e-07
parm_dev[1](214)     -1.14496 -2.83543e-07
parm_dev[1](215)   -0.0147627 -3.87519e-08
parm_dev[1](216) -0.000516893  1.08477e-08
parm_dev[1](217)     -1.16451  1.30886e-07
parm_dev[1](218)     -1.33689  3.17299e-08
parm_dev[1](219)     -1.45683  8.10874e-08
parm_dev[1](220)     -1.00119  5.42376e-08
parm_dev[1](221)    0.0545407 -1.67819e-08
parm_dev[1](222)  0.000155126   8.4952e-09
parm_dev[1](223)     0.319758 -1.27921e-07
parm_dev[1](224)    -0.480767 -1.88113e-07
parm_dev[1](225)    -0.241509  8.57077e-09
parm_dev[1](226)    -0.411949  1.32155e-07
parm_dev[1](227)     0.413504  3.50889e-08
parm_dev[1](228)    0.0232205   3.2756e-08
parm_dev[1](229)     0.628806  9.40779e-08
parm_dev[1](230)    0.0855153 -4.07151e-08
parm_dev[1](231)    -0.334571 -7.05512e-08
parm_dev[1](232)    -0.137176 -1.96706e-08
parm_dev[1](233)     0.140485  -2.7497e-08
parm_dev[1](234)    0.0100425  7.28925e-09
parm_dev[1](235)    -0.197029 -3.94824e-07
parm_dev[1](236)    -0.779519 -3.12609e-07
parm_dev[1](237)    -0.907182  -3.1483e-07
parm_dev[1](238)     -1.08906 -1.99029e-07
parm_dev[1](239)    -0.638563 -8.67812e-08
parm_dev[1](240)    -0.130936 -5.22566e-08
parm_dev[1](241)     0.682624  2.61345e-07
parm_dev[1](242)      -0.6671  1.18656e-06
parm_dev[1](243)     -0.82274  4.03048e-07
parm_dev[1](244)    -0.541217   4.2488e-07
parm_dev[1](245)    -0.781665  2.20826e-07
parm_dev[1](246)     0.101781  3.23361e-09
parm_dev[1](247)     0.132174  2.71958e-07
parm_dev[1](248)    -0.606613  8.49608e-08
parm_dev[1](249)     -1.11336  8.76811e-08
parm_dev[1](250)    -0.753091  1.36308e-07
parm_dev[1](251)    -0.545439 -1.59747e-07
parm_dev[1](252)    -0.659795 -6.66672e-08
parm_dev[1](253)      1.01013  8.28813e-07
parm_dev[1](254)    -0.098859  5.06202e-07
parm_dev[1](255)    -0.422248  8.37911e-07
parm_dev[1](256)    -0.474402  6.09519e-07
parm_dev[1](257)    -0.168275  1.40186e-07
parm_dev[1](258)    -0.145874  4.33664e-08
parm_dev[1](259)    0.0297624  5.22666e-07
parm_dev[1](260)    -0.108496  6.69602e-07
parm_dev[1](261)    -0.886795  3.49222e-07
parm_dev[1](262)    -0.834035  2.16945e-07
parm_dev[1](263)     -1.04976  1.61131e-07
parm_dev[1](264)    -0.542856  5.48272e-08
parm_dev[1](265)    -0.697008  5.94373e-07
parm_dev[1](266)     -1.03687  7.11122e-07
parm_dev[1](267)     -1.34396  5.30797e-07
parm_dev[1](268)       -1.454  4.29518e-07
parm_dev[1](269)     -1.30636  2.58343e-07
parm_dev[1](270)       -1.648  1.10727e-07
parm_dev[1](271)    -0.702075  1.18961e-06
parm_dev[1](272)     -0.88218  5.90157e-07
parm_dev[1](273)     -1.32007  3.09546e-07
parm_dev[1](274)     -1.04751  1.64069e-07
parm_dev[1](275)     -1.23557  1.60546e-08
parm_dev[1](276)    -0.876907 -3.02624e-08
parm_dev[1](277)    -0.900202  2.28709e-06
parm_dev[1](278)    -0.583974  3.45351e-06
parm_dev[1](279)    -0.958176    1.084e-06
parm_dev[1](280)     -0.93434   6.1135e-07
parm_dev[1](281)    -0.856691  2.48016e-07
parm_dev[1](282)     -1.00422  1.32712e-07
parm_dev[1](283)     -1.06572  2.23782e-07
parm_dev[1](284)     -1.09053  -1.2908e-06
parm_dev[1](285)     -1.15467 -8.63259e-07
parm_dev[1](286)      -1.2466 -2.24034e-07
parm_dev[1](287)     -1.37114 -1.06974e-07
parm_dev[1](288)    -0.982725  -4.1755e-08
parm_dev[1](289)     0.078577  2.68204e-07
parm_dev[1](290)    -0.479279 -6.58242e-08
parm_dev[1](291)    -0.486547 -4.13966e-07
parm_dev[1](292)    -0.735661 -8.88069e-08
parm_dev[1](293)    -0.476077 -5.54592e-08
parm_dev[1](294)    -0.711937 -4.00316e-08
parm_dev[1](295)    -0.627212  3.06637e-07
parm_dev[1](296)     0.294982 -4.35563e-07
parm_dev[1](297)     0.221241  -3.0337e-07
parm_dev[1](298)      0.21472 -1.51501e-07
parm_dev[1](299)    0.0352641 -7.47899e-08
parm_dev[1](300)   -0.0167591  2.62478e-08
parm_dev[1](301)     0.884394   2.2184e-07
parm_dev[1](302)     0.472945 -9.25889e-08
parm_dev[1](303)     0.354119  9.24384e-08
parm_dev[1](304)     0.294284 -1.20585e-07
parm_dev[1](305)     0.348312  7.45105e-08
parm_dev[1](306)     0.349953  -3.3713e-08
parm_dev[1](307)    -0.484909 -5.24489e-08
parm_dev[1](308)     0.199916 -9.54598e-08
parm_dev[1](309)     0.171317 -2.04372e-07
parm_dev[1](310)    -0.126384 -1.67961e-07
parm_dev[1](311)    -0.171008 -1.12493e-08
parm_dev[1](312)     -0.16378 -2.75224e-08
parm_dev[1](313)    -0.598302  1.95111e-07
parm_dev[1](314)   -0.0461003 -3.87801e-07
parm_dev[1](315)     -0.21096 -2.90934e-07
parm_dev[1](316)     -0.16235 -4.70605e-07
parm_dev[1](317)     -0.24191 -1.74926e-07
parm_dev[1](318)    -0.401176 -8.97554e-08
parm_dev[1](319)    -0.147552  1.02403e-07
parm_dev[1](320)    -0.492429  2.82569e-07
parm_dev[1](321)     0.212834  3.29992e-08
parm_dev[1](322)    0.0327874  1.00051e-07
parm_dev[1](323)   -0.0202247 -1.06002e-07
parm_dev[1](324)    -0.204577 -8.39226e-09
parm_dev[1](325)    -0.839923  9.20832e-08
parm_dev[1](326)    -0.216026 -2.43046e-07
parm_dev[1](327)     -0.31832 -5.93597e-07
parm_dev[1](328)    0.0631575 -2.58664e-08
parm_dev[1](329)    -0.258526 -2.35205e-08
parm_dev[1](330)     -0.24362 -1.96096e-07
parm_dev[1](331)   -0.0143257  2.17407e-07
parm_dev[1](332)     -0.39023  4.01538e-07
parm_dev[1](333)    -0.185667  3.30353e-07
parm_dev[1](334)   -0.0737961   6.7357e-07
parm_dev[1](335)     0.349157  1.31781e-07
parm_dev[1](336)     -0.12949  6.92374e-08
parm_dev[1](337)    -0.849281  6.22392e-08
parm_dev[1](338)     -0.65837 -1.19961e-07
parm_dev[1](339)    -0.602105  -2.7194e-07
parm_dev[1](340)    -0.230877  6.09905e-08
parm_dev[1](341)    -0.138247 -5.27252e-08
parm_dev[1](342)    0.0996218   -1.011e-08
parm_dev[1](343)    -0.294348  1.21809e-08
parm_dev[1](344)    -0.780041 -8.82441e-08
parm_dev[1](345)    -0.942632  7.67259e-08
parm_dev[1](346)    -0.764123  2.78411e-07
parm_dev[1](347)    -0.367388  1.15769e-07
parm_dev[1](348)    -0.330182  9.94538e-08
parm_dev[1](349)    -0.956378  7.59975e-08
parm_dev[1](350)    -0.514895 -1.04062e-07
parm_dev[1](351)    -0.550928 -1.98547e-08
parm_dev[1](352)    -0.344856  -9.1479e-09
parm_dev[1](353)    -0.291024 -1.81752e-07
parm_dev[1](354)    -0.197536  -1.5369e-09
parm_dev[1](355)    -0.896439  1.29626e-07
parm_dev[1](356)    -0.722317 -1.95047e-07
parm_dev[1](357)    -0.129349  8.26294e-08
parm_dev[1](358)   -0.0548607  1.95783e-07
parm_dev[1](359)   -0.0700908  7.43401e-08
parm_dev[1](360)   -0.0378792 -1.65201e-07
parm_dev[1](361)    -0.920128    2.176e-07
parm_dev[1](362)    -0.541393  1.32564e-07
parm_dev[1](363)    -0.812287  6.79794e-08
parm_dev[1](364)    -0.466919   2.3161e-08
parm_dev[1](365)    -0.311618  2.99465e-08
parm_dev[1](366)    -0.565565  2.97213e-08
parm_dev[1](367)    -0.757669  2.02341e-07
parm_dev[1](368)    -0.380872 -5.41096e-08
parm_dev[1](369)     -1.11376  8.97869e-08
parm_dev[1](370)    -0.761154  1.42371e-07
parm_dev[1](371)    -0.483625  7.60776e-08
parm_dev[1](372)    -0.671228   -6.412e-08
parm_dev[1](373)    -0.518776  3.77786e-07
parm_dev[1](374)    -0.120476  3.63836e-07
parm_dev[1](375)    -0.278249   3.6101e-07
parm_dev[1](376)    -0.592919  2.72657e-07
parm_dev[1](377)    -0.453755  9.14392e-08
parm_dev[1](378)    -0.378598  1.56647e-07
parm_dev[1](379)     -1.11265  3.50213e-07
parm_dev[1](380)    -0.280796  2.61807e-07
parm_dev[1](381)    -0.164848  1.26935e-07
parm_dev[1](382)    -0.102524  2.13181e-07
parm_dev[1](383)    -0.307529  1.54228e-07
parm_dev[1](384)    -0.457705   6.9585e-08
